iter	Passed	Remaining
0	3	3142
1	4	2393
2	6	2159
3	8	2010
4	9	1944
5	11	1898
6	13	1875
7	14	1848
8	16	1840
9	18	1822
10	20	1823
11	22	1814
12	23	1806
13	25	1789
14	27	1785
15	28	1775
16	30	1772
17	32	1776
18	34	1768
19	36	1772
20	37	1760
21	39	1756
22	41	1752
23	42	1744
24	44	1754
25	47	1763
26	49	1775
27	50	1769
28	52	1768
29	54	1761
30	56	1764
31	58	1762
32	60	1760
33	61	1757
34	63	1758
35	65	1758
36	67	1754
37	69	1750
38	70	1743
39	72	1741
40	74	1737
41	75	1731
42	78	1744
43	80	1740
44	81	1739
45	83	1739
46	85	1735
47	87	1734
48	89	1729
49	90	1726
50	92	1722
51	94	1720
52	96	1718
53	97	1715
54	99	1714
55	101	1712
56	103	1708
57	105	1708
58	106	1705
59	108	1703
60	110	1700
61	112	1697
62	113	1694
63	115	1695
64	117	1690
65	119	1688
66	121	1686
67	122	1684
68	124	1682
69	126	1680
70	128	1679
71	130	1678
72	132	1679
73	134	1677
74	135	1675
75	137	1671
76	139	1670
77	141	1667
78	143	1668
79	144	1667
80	146	1665
81	148	1662
82	150	1659
83	152	1659
84	154	1658
85	155	1657
86	157	1655
87	159	1655
88	161	1653
89	163	1651
90	165	1648
91	166	1646
92	168	1643
93	170	1643
94	172	1645
95	174	1642
96	176	1639
97	177	1636
98	179	1633
99	181	1631
100	183	1629
101	184	1627
102	186	1626
103	188	1625
104	190	1622
105	191	1619
106	193	1616
107	195	1613
108	196	1608
109	198	1607
110	200	1603
111	201	1599
112	203	1597
113	205	1594
114	206	1592
115	208	1591
116	210	1587
117	211	1583
118	213	1579
119	215	1576
120	216	1573
121	218	1570
122	220	1569
123	221	1565
124	223	1561
125	224	1558
126	226	1556
127	228	1554
128	230	1553
129	231	1550
130	233	1548
131	235	1546
132	237	1545
133	238	1543
134	240	1541
135	242	1539
136	244	1537
137	246	1537
138	247	1534
139	249	1531
140	250	1528
141	252	1526
142	254	1524
143	256	1522
144	257	1520
145	259	1518
146	261	1516
147	262	1510
148	264	1509
149	266	1508
150	267	1506
151	269	1504
152	271	1502
153	273	1501
154	274	1497
155	276	1495
156	277	1492
157	279	1489
158	281	1487
159	282	1483
160	284	1480
161	285	1477
162	287	1474
163	288	1471
164	290	1469
165	291	1466
166	293	1463
167	295	1460
168	296	1458
169	298	1456
170	299	1453
171	301	1450
172	302	1448
173	304	1445
174	305	1442
175	307	1440
176	309	1438
177	311	1436
178	312	1433
179	313	1430
180	315	1427
181	317	1425
182	318	1422
183	320	1419
184	321	1416
185	323	1414
186	324	1412
187	326	1409
188	327	1406
189	329	1404
190	331	1402
191	332	1400
192	334	1398
193	335	1395
194	337	1393
195	339	1391
196	340	1389
197	342	1387
198	344	1385
199	345	1383
200	347	1381
201	349	1379
202	350	1377
203	352	1375
204	354	1373
205	355	1371
206	357	1370
207	359	1368
208	360	1365
209	362	1363
210	364	1361
211	365	1359
212	367	1357
213	369	1355
214	370	1353
215	372	1352
216	374	1350
217	376	1349
218	378	1348
219	380	1348
220	382	1347
221	384	1347
222	386	1345
223	387	1343
224	389	1342
225	391	1340
226	393	1339
227	395	1337
228	396	1336
229	398	1333
230	400	1331
231	401	1330
232	403	1327
233	405	1326
234	407	1325
235	408	1323
236	410	1320
237	411	1318
238	413	1316
239	415	1314
240	416	1311
241	418	1309
242	419	1307
243	421	1305
244	422	1303
245	424	1301
246	426	1299
247	427	1296
248	429	1294
249	430	1292
250	432	1291
251	434	1289
252	435	1286
253	437	1284
254	439	1282
255	440	1280
256	442	1278
257	443	1276
258	445	1274
259	447	1272
260	449	1271
261	451	1272
262	453	1270
263	454	1268
264	456	1267
265	458	1266
266	460	1264
267	462	1262
268	463	1260
269	465	1258
270	467	1256
271	468	1254
272	470	1252
273	472	1251
274	473	1249
275	475	1247
276	477	1245
277	479	1244
278	480	1242
279	482	1240
280	484	1238
281	485	1236
282	487	1235
283	489	1233
284	490	1231
285	492	1229
286	494	1228
287	496	1226
288	497	1224
289	499	1222
290	500	1220
291	502	1218
292	504	1216
293	506	1216
294	508	1214
295	509	1212
296	511	1210
297	513	1209
298	514	1207
299	516	1205
300	518	1203
301	520	1202
302	522	1201
303	523	1198
304	525	1197
305	526	1194
306	528	1192
307	529	1190
308	531	1188
309	533	1186
310	534	1184
311	536	1182
312	537	1180
313	539	1178
314	541	1176
315	542	1174
316	544	1172
317	545	1170
318	547	1168
319	549	1166
320	550	1165
321	552	1163
322	554	1161
323	556	1160
324	557	1158
325	559	1156
326	560	1153
327	562	1151
328	563	1150
329	565	1148
330	567	1146
331	568	1144
332	570	1142
333	571	1140
334	573	1138
335	575	1137
336	577	1135
337	578	1133
338	580	1131
339	581	1129
340	583	1127
341	585	1125
342	587	1124
343	589	1123
344	590	1121
345	592	1120
346	594	1118
347	596	1117
348	598	1115
349	599	1114
350	601	1112
351	603	1110
352	605	1109
353	606	1107
354	608	1106
355	610	1104
356	612	1103
357	614	1101
358	615	1099
359	617	1098
360	619	1096
361	620	1094
362	622	1092
363	624	1090
364	626	1089
365	627	1087
366	629	1085
367	631	1084
368	633	1082
369	635	1081
370	636	1079
371	639	1078
372	640	1077
373	642	1075
374	644	1074
375	646	1072
376	647	1070
377	649	1069
378	651	1067
379	653	1065
380	655	1064
381	656	1062
382	658	1061
383	660	1059
384	662	1058
385	664	1056
386	666	1054
387	667	1053
388	669	1051
389	671	1049
390	673	1048
391	674	1046
392	676	1045
393	678	1043
394	680	1041
395	681	1039
396	683	1037
397	684	1035
398	686	1034
399	688	1032
400	690	1031
401	692	1029
402	693	1027
403	695	1026
404	697	1024
405	699	1022
406	700	1021
407	702	1019
408	704	1017
409	706	1016
410	707	1014
411	709	1012
412	711	1010
413	713	1009
414	715	1008
415	717	1006
416	718	1005
417	720	1003
418	722	1002
419	724	1000
420	726	998
421	727	997
422	729	995
423	731	993
424	733	992
425	735	990
426	737	989
427	738	987
428	740	986
429	742	984
430	744	983
431	746	981
432	747	979
433	749	977
434	751	976
435	753	974
436	755	972
437	757	971
438	758	969
439	761	968
440	762	966
441	764	965
442	766	963
443	768	962
444	770	960
445	771	958
446	773	957
447	775	955
448	777	953
449	779	952
450	780	950
451	782	948
452	784	947
453	786	945
454	787	943
455	789	942
456	791	940
457	793	939
458	795	937
459	797	935
460	798	934
461	800	932
462	802	930
463	804	929
464	806	927
465	807	925
466	809	923
467	811	922
468	812	920
469	814	918
470	816	916
471	818	915
472	820	913
473	822	912
474	823	910
475	825	909
476	827	907
477	829	905
478	830	903
479	832	902
480	834	900
481	836	898
482	838	897
483	839	895
484	841	893
485	843	891
486	845	890
487	846	888
488	848	886
489	849	884
490	851	882
491	853	880
492	855	879
493	856	877
494	858	875
495	860	874
496	862	872
497	864	871
498	866	869
499	867	867
500	869	866
501	871	864
502	873	863
503	875	861
504	876	859
505	878	857
506	880	856
507	882	854
508	883	852
509	885	850
510	887	849
511	889	847
512	891	846
513	893	844
514	894	842
515	896	841
516	898	839
517	900	837
518	901	835
519	903	834
520	905	832
521	907	830
522	909	829
523	911	827
524	912	825
525	914	824
526	916	822
527	918	820
528	920	819
529	921	817
530	923	815
531	925	813
532	927	812
533	929	811
534	931	809
535	933	808
536	935	806
537	937	805
538	941	804
539	949	808
540	952	807
541	954	806
542	957	805
543	959	804
544	964	805
545	967	804
546	969	802
547	972	801
548	975	801
549	977	799
550	979	798
551	981	796
552	984	795
553	985	793
554	987	791
555	989	790
556	991	788
557	992	786
558	994	784
559	996	782
560	998	781
561	1000	779
562	1002	777
563	1003	776
564	1005	774
565	1007	772
566	1009	770
567	1010	768
568	1012	766
569	1014	765
570	1016	763
571	1018	761
572	1020	760
573	1021	758
574	1023	756
575	1025	754
576	1026	752
577	1028	751
578	1030	749
579	1032	747
580	1034	745
581	1035	744
582	1037	742
583	1039	740
584	1041	738
585	1043	736
586	1044	735
587	1046	733
588	1048	731
589	1050	729
590	1052	728
591	1053	726
592	1055	724
593	1057	722
594	1059	720
595	1060	719
596	1062	717
597	1064	715
598	1066	713
599	1068	712
600	1069	710
601	1071	708
602	1073	706
603	1075	705
604	1077	703
605	1079	701
606	1080	699
607	1082	697
608	1084	696
609	1086	694
610	1087	692
611	1089	690
612	1091	688
613	1093	687
614	1094	685
615	1096	683
616	1098	681
617	1100	680
618	1102	678
619	1103	676
620	1105	674
621	1107	673
622	1109	671
623	1111	669
624	1113	668
625	1115	666
626	1116	664
627	1118	662
628	1120	660
629	1122	659
630	1124	657
631	1125	655
632	1127	653
633	1129	652
634	1131	650
635	1133	648
636	1135	646
637	1136	644
638	1138	643
639	1140	641
640	1141	639
641	1143	637
642	1145	636
643	1147	634
644	1149	632
645	1150	630
646	1152	628
647	1154	627
648	1156	625
649	1157	623
650	1159	621
651	1161	619
652	1163	618
653	1164	616
654	1166	614
655	1168	612
656	1170	610
657	1171	609
658	1173	607
659	1175	605
660	1177	603
661	1178	601
662	1180	600
663	1182	598
664	1184	596
665	1185	594
666	1187	592
667	1189	591
668	1190	589
669	1192	587
670	1194	585
671	1196	583
672	1198	582
673	1199	580
674	1201	578
675	1203	576
676	1205	574
677	1206	573
678	1208	571
679	1210	569
680	1212	567
681	1213	566
682	1215	564
683	1217	562
684	1218	560
685	1220	558
686	1222	556
687	1224	555
688	1225	553
689	1227	551
690	1229	549
691	1230	547
692	1232	546
693	1234	544
694	1236	542
695	1238	540
696	1239	538
697	1241	537
698	1243	535
699	1244	533
700	1246	531
701	1248	529
702	1249	528
703	1251	526
704	1253	524
705	1254	522
706	1256	520
707	1258	519
708	1260	517
709	1261	515
710	1263	513
711	1265	511
712	1267	510
713	1268	508
714	1270	506
715	1272	504
716	1274	502
717	1275	501
718	1277	499
719	1279	497
720	1281	495
721	1283	494
722	1285	492
723	1287	490
724	1289	488
725	1291	487
726	1292	485
727	1294	483
728	1296	481
729	1298	480
730	1300	478
731	1301	476
732	1303	474
733	1305	473
734	1307	471
735	1309	469
736	1310	467
737	1312	466
738	1314	464
739	1316	462
740	1318	460
741	1319	458
742	1321	457
743	1323	455
744	1325	453
745	1326	451
746	1328	449
747	1330	448
748	1331	446
749	1333	444
750	1335	442
751	1336	440
752	1338	439
753	1340	437
754	1342	435
755	1344	433
756	1346	432
757	1347	430
758	1349	428
759	1351	426
760	1353	424
761	1354	423
762	1356	421
763	1359	419
764	1361	418
765	1362	416
766	1364	414
767	1366	412
768	1368	410
769	1369	409
770	1371	407
771	1373	405
772	1375	403
773	1376	401
774	1378	400
775	1380	398
776	1382	396
777	1383	394
778	1385	393
779	1387	391
780	1388	389
781	1390	387
782	1391	385
783	1393	384
784	1395	382
785	1397	380
786	1399	378
787	1400	376
788	1402	375
789	1403	373
790	1405	371
791	1407	369
792	1408	367
793	1410	366
794	1412	364
795	1414	362
796	1416	360
797	1418	358
798	1419	357
799	1421	355
800	1423	353
801	1425	351
802	1426	350
803	1428	348
804	1430	346
805	1432	344
806	1434	342
807	1435	341
808	1437	339
809	1439	337
810	1440	335
811	1442	333
812	1444	332
813	1446	330
814	1447	328
815	1449	326
816	1451	325
817	1453	323
818	1455	321
819	1457	319
820	1459	318
821	1461	316
822	1462	314
823	1464	312
824	1466	311
825	1468	309
826	1470	307
827	1472	305
828	1473	304
829	1475	302
830	1477	300
831	1479	298
832	1480	296
833	1482	295
834	1484	293
835	1486	291
836	1488	289
837	1490	288
838	1491	286
839	1493	284
840	1494	282
841	1496	280
842	1498	279
843	1500	277
844	1502	275
845	1504	273
846	1506	272
847	1508	270
848	1510	268
849	1511	266
850	1513	265
851	1515	263
852	1517	261
853	1518	259
854	1521	257
855	1522	256
856	1525	254
857	1526	252
858	1528	250
859	1530	249
860	1532	247
861	1533	245
862	1535	243
863	1537	242
864	1539	240
865	1541	238
866	1543	236
867	1545	234
868	1546	233
869	1548	231
870	1550	229
871	1552	227
872	1554	226
873	1556	224
874	1558	222
875	1559	220
876	1561	219
877	1563	217
878	1565	215
879	1567	213
880	1568	211
881	1570	210
882	1572	208
883	1574	206
884	1575	204
885	1577	202
886	1579	201
887	1581	199
888	1582	197
889	1584	195
890	1586	194
891	1588	192
892	1590	190
893	1592	188
894	1594	187
895	1596	185
896	1598	183
897	1600	181
898	1601	179
899	1604	178
900	1605	176
901	1607	174
902	1609	172
903	1611	171
904	1613	169
905	1615	167
906	1616	165
907	1618	163
908	1620	162
909	1622	160
910	1623	158
911	1625	156
912	1627	155
913	1629	153
914	1630	151
915	1632	149
916	1634	147
917	1636	146
918	1638	144
919	1639	142
920	1641	140
921	1643	139
922	1645	137
923	1647	135
924	1649	133
925	1650	131
926	1652	130
927	1654	128
928	1656	126
929	1658	124
930	1660	123
931	1661	121
932	1663	119
933	1665	117
934	1667	115
935	1668	114
936	1670	112
937	1672	110
938	1674	108
939	1676	107
940	1678	105
941	1679	103
942	1681	101
943	1683	99
944	1685	98
945	1686	96
946	1688	94
947	1690	92
948	1692	90
949	1694	89
950	1696	87
951	1697	85
952	1699	83
953	1701	82
954	1703	80
955	1705	78
956	1706	76
957	1708	74
958	1710	73
959	1712	71
960	1714	69
961	1715	67
962	1717	65
963	1719	64
964	1720	62
965	1722	60
966	1724	58
967	1726	57
968	1728	55
969	1730	53
970	1731	51
971	1733	49
972	1735	48
973	1737	46
974	1739	44
975	1741	42
976	1743	41
977	1745	39
978	1746	37
979	1748	35
980	1750	33
981	1752	32
982	1753	30
983	1755	28
984	1757	26
985	1759	24
986	1761	23
987	1763	21
988	1764	19
989	1766	17
990	1768	16
991	1769	14
992	1771	12
993	1773	10
994	1775	8
995	1777	7
996	1778	5
997	1780	3
998	1782	1
999	1784	0
